iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,summary,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,individual,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,propcomment,scite1
2013,5,20,District of Columbia,Washington,38.907231,-77.036464,0,"05/20/2013: A letter containing ricin was mailed to United States President, Barack Obama, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach the President. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned the President of future attacks if he pursued a gun control agenda. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.",1,1,0,0,8,Unarmed Assault,2,Government (General),17,Head of State,Government of the United States,President: Barack Obama,Anti-Gun Control extremists,1,1,1,1,1,Biological,,,0,0,0,,,,,"""Texas woman in ricin case sentenced to 18 years in prison,"" CBS News, July 16, 2014."
2013,5,20,District of Columbia,Washington,38.904974,-77.034453,0,"05/20/2013: A letter containing ricin was mailed to the Director of Mayors Against Illegal Guns, Mark Glaze, in Washington, District of Columbia, United States. The letter caused no injuries as it was intercepted before it could reach Glaze. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Glaze and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.",1,1,0,0,8,Unarmed Assault,14,Private Citizens & Property,82,Labor Union Related,Mayors Against Illegal Guns,Director: Mark Glaze,Anti-Gun Control extremists,1,1,1,1,1,Biological,,,0,0,0,,,,,"""Texas woman in ricin case sentenced to 18 years in prison,"" CBS News, July 16, 2014."
2013,5,20,New York,New York City,40.712784,-74.005941,0,"05/20/2013: A letter containing ricin was mailed to the Mayor of New York City, Michael Bloomberg, in New York City, United States. The letter caused no injuries as it was intercepted before it could reach Bloomberg. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Bloomberg and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.",1,1,0,0,8,Unarmed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of New York City,Mayor: Michael Bloomberg,Anti-Gun Control extremists,1,1,1,1,1,Biological,,,0,0,0,,,,,"""Texas woman in ricin case sentenced to 18 years in prison,"" CBS News, July 16, 2014."
2013,7,25,New Hampshire,Manchester,42.995673,-71.454741,0,"07/25/2013: Assailants vandalized the Islamic Society of Great Manchester Mosque and attempted to set it on fire in Manchester, New Hampshire, United States. There were no reported casualties in the attack. Two assailants, identifed as anti-Muslim extremists, claimed responsibility for the incident.",0,0,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Islamic Society of Great Manchester,Mosque,Anti-Muslim extremists,1,3,2,1,8,Incendiary,18,Arson/Fire,0,0,1,3,Minor (likely < $1 million),30000,A mosque was damaged in this attack.,"""Two Children Accused Of Vandalizing Manchester, NH Mosque,"" WBZ-TV CBS Boston, September 18, 2013."
2013,8,8,Oregon,Portland,45.545339,-122.661681,0,"08/08/2013: Assailants set fire to an apartment building in Portland, Oregon, United States. There were no reported casualties. Students For Insurrection claimed responsibility for the incident.",0,0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Apartment Complex,Students For Insurrection,0,-99,0,1,8,Incendiary,18,Arson/Fire,0,0,1,3,Minor (likely < $1 million),-99,An apartment building was damaged in this attack.,"""Arson blamed for massive 5-alarm fire that destroyed apartment complex,"" KPTV.com, August 13, 2013."
2013,8,22,Oregon,Coos Bay,43.366501,-124.21789,0,"08/22/2013: An explosive device placed near the Mingus Park Vietnam War Memorial detonated in Coos Bay, Oregon, United States. No one was injured in the blast and it is unknown if the memorial was damaged. Veterans for Non-Religious Memorials claimed responsibility for the incident. The group stated that they were against the existence of religious memorials and felt that they were offensive toward non-Christian families.",0,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,80,Memorial/Cemetery/Monument,Mingus Park,Vietnam War Memorial Cross,Veterans United for Non-Religious Memorials,0,1,0,1,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0,0,1,4,Unknown,-99,Unspecified property was damaged in this attack,"""Investigation Continues on Coos Bay IEDs,"" KDRV.com, September 20, 2013."
2013,9,3,Oregon,Coos Bay,43.375245,-124.224996,0,"09/03/2013: An explosive device was discovered and defused at The Prayer Chapel in Coos Bay, Oregon, United States. Veterans United for Non-Religious Memorials claimed responsibility for the incident",0,0,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,The Prayer Chapel,Chapel,Veterans United for Non-Religious Memorials,0,-99,0,1,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,0,0,0,,,,,"""Investigation Continues on Coos Bay IEDs,"" KDRV.com, September 20, 2013."
2013,10,3,Missouri,Joplin,37.083284,-94.502838,0,"10/03/2013: An assailant attempted to set fire to a Planned Parenthood Federation of America clinic in Joplin, Missouri, United States. There were no reported casualties in the attack. An individual, identified as Jedediah Stout, claimed responsibility for the incident.",0,0,0,0,7,Facility/Infrastructure Attack,5,Abortion Related,40,Clinics,Planned Parenthood Federation of America,Clinic,Anti-Abortion extremists,1,1,1,1,8,Incendiary,18,Arson/Fire,0,0,0,,,,,"""Man confesses to Missouri mosque and clinic fires, prosecutors say,"" Reuters News, October 22, 2013."
2013,10,4,Missouri,Joplin,37.083284,-94.502838,0,"10/04/2013: An assailant attempted to set fire to a Planned Parenthood Federation of America clinic in Joplin, Missouri, United States. There were no reported casualties in the attack. An individual, identified as Jedediah Stout, claimed responsibility for the incident.",0,0,0,0,7,Facility/Infrastructure Attack,5,Abortion Related,40,Clinics,Planned Parenthood Federation of America,Clinic,Anti-Abortion extremists,1,1,1,1,8,Incendiary,18,Arson/Fire,0,0,0,,,,,"""Man confesses to Missouri mosque and clinic fires, prosecutors say,"" Reuters News, October 22, 2013."
2013,11,1,California,Los Angeles,33.941589,-118.40853,0,"11/01/2013: An assailant opened fire on Transportation Security Administration (TSA) agents inside Terminal 3 at Los Angeles International Airport (LAX) in Los Angeles, California, United States. At least one agent was killed and four others, including agents and civilians, were wounded in the assault. TSA agents returned fire and injured the assailant. Paul Ciancia claimed responsibility for the incident, stating, in a note found in his apartment, that he wanted to kill and to instill fear in TSA officers.",0,0,1,0,2,Armed Assault,6,Airports & Aircraft,44,Airport,Los Angeles International Airport (LAX),Terminal 3,Anti-Government extremists,1,1,1,1,5,Firearms,2,Automatic Weapon,1,4,-9,,,,It is unknown if any property was damaged in this attack.,"""FBI: LAX shooter wanted to kill TSA officers,"" CNN, November 5, 2013."
2014,3,18,Mississippi,Hattiesburg,31.32747,-89.327765,0,"03/18/2014: Assailants opened fire on the Hattiesburg Islamic Center in Hattiesburg, Mississippi, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",0,0,1,0,2,Armed Assault,15,Religious Figures/Institutions,86,Place of Worship,Hattiesburg Islamic Center,Mosque,Unknown,0,-99,0,0,5,Firearms,5,Unknown Gun Type,0,0,1,3,Minor (likely < $1 million),-99,An unknown number of doors and windows were damaged in this attack.,"""Shots fired into Hattiesburg Islamic center; no one hurt,"" The Clarion-Ledger, March 20, 2014."
2014,3,25,Illinois,Orland Park,41.630557,-87.854074,0,"03/25/2014: Assailants opened fire on the dome of the Orland Park Prayer Center in Orland Park, Illinois, United States. No casualties were reported. No group claimed responsibility for the incident.",0,0,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Prayer Center of Orland Park,Mosque,Unknown,0,-99,0,0,5,Firearms,5,Unknown Gun Type,0,0,1,3,Minor (likely < $1 million),-99,The dome of a mosque was damaged in this attack.,"""Shot fired at Orland Park mosque,"" WGN, March 26, 2014."
2014,4,13,Kansas,Overland Park,38.982228,-94.670792,0,"04/13/2014: An assailant opened fire on civilians outside of a Jewish community center in Overland Park, Kansas, United States. Two people were killed in the attack. This was one of two attacks carried out by the assailant within a few minutes of each other in the same area; the assailant targeted a nearby retirement home in the second attack. No group claimed responsibility for the incident; however, officials arrested a former Ku Klux Klan member who had shouted ""Heil Hitler"" following the arrest.",0,1,1,0,2,Armed Assault,15,Religious Figures/Institutions,87,Affiliated Institution,Jewish Community Center of Greater Kansas City,Community Center,White extremists,1,1,1,1,5,Firearms,3,Handgun,2,0,0,,,,,"""Judge sentences Frazier Glenn Cross to death,"" CNN.com, November 11, 2015."
2014,4,13,Kansas,Overland Park,38.982228,-94.670792,0,"04/13/2014: An assailant opened fire on civilians outside of a Jewish retirement home in Overland Park, Kansas, United States. One person was killed in the attack. This was one of two incidents carried out by the assailant within a few minutes of each other in the same area; the assailant targeted a nearby community center in the first attack. No group claimed responsibility for the incident; however, officials arrested a former Ku Klux Klan member who had shouted ""Heil Hitler"" following the arrest.",0,1,1,0,2,Armed Assault,15,Religious Figures/Institutions,87,Affiliated Institution,Village Shalom,Jewish Retirement Home,White extremists,1,1,1,1,5,Firearms,3,Handgun,1,0,0,,,,,"""Judge sentences Frazier Glenn Cross to death,"" CNN.com, November 11, 2015."
2014,4,27,Washington,Seattle,47.492418,-122.239106,0,"04/27/2014: An assailant shot and killed a civilian, Leroy Henderson in Skyway neighborhood, Seattle, Washington, United States. Prosecutors later indicted Ali Muhammad Brown for the murder of Henderson. Authorities claim that Brown committed the act to punish the United States for its involvement in Iraq and Afghanistan. Brown has been indicted on murder charges for two similar attacks that occurred in Washington and New Jersey in 2014.",0,0,1,0,2,Armed Assault,14,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilian: Leroy Henderson,Jihadi-inspired extremists,1,1,1,1,5,Firearms,5,Unknown Gun Type,1,0,0,,,,,"""Prosecutor: Seattle man charged with killing 4 was on terrorism watch list,"" Seattle Times, January 20, 2016."
2014,5,5,West Virginia,Weirton,40.40803,-80.588972,0,"05/05/2014: Three explosive devices were discovered and safely detonated around the Weirton Municipal Building in Weirton, West Virginia, United States. One of the devices was planted underneath a Weirton Police vehicle. An individual, David Patterson, claimed responsibility for the incident.",0,0,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Government of Weirton,Municipal Building,Anti-Government extremists,1,1,0,1,2,Chemical,30,Explosive,0,0,0,,,,,"""Halstead, Patterson plead not guilty,"" WTOV 9, September 18, 2014."
2014,6,1,Washington,Seattle,47.615304,-122.323444,0,"06/01/2014: An assailant shot and killed two civilians in Seattle, Washington, United States. Prosecutors later indicted Ali Muhammad Brown for the murders of the two victims. Brown claimed responsibility for the incident, stating that he committed the act to punish the United States for its involvement in Iraq, Iran and Afghanistan. Brown has been indicted on murder charges for two similar attacks that occurred in Washington and New Jersey states in 2014.",0,0,1,0,2,Armed Assault,14,Private Citizens & Property,68,Named Civilian,Not Applicable,"Civilians: Ahmed Said, Dwone Anderson-Young",Jihadi-inspired extremists,1,1,1,1,5,Firearms,5,Unknown Gun Type,2,0,0,,,,,"""Prosecutor: Seattle man charged with killing 4 was on terrorism watch list,"" Seattle Times, January 20, 2016."
2014,6,6,Georgia,Cumming,34.206408,-84.13969,0,"06/06/2014: An assailant, identified as Dennis Marx, opened fire on the Forsyth County Courthouse in Cumming, Georgia, United States. In addition to handguns and an AR-15 rifle, Marx was armed with tire spikes, smoke bombs, homemade explosives, and grenades. Sheriff's Deputy Daniel Rush was injured in the attack and Marx was shot and killed by law enforcement officers before he was able to enter the courthouse. Marx self-identified as belonging to the Sovereign Citizen movement.",0,0,0,0,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Government of Forsyth County,Courthouse,Sovereign Citizen,0,1,0,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,1,1,-9,,,,It is unknown if a courthouse was damaged in this attack.,"""Investigators reveal details of Forsyth Co. Courthouse shooting,"" FOX Atlanta, October 21, 2014."
2014,6,8,Nevada,Las Vegas,36.164808,-115.062863,0,"06/08/2014: Gunmen ambushed two police officers eating at a restaurant and attacked a nearby Walmart in Las Vegas, Nevada, United States. Two officers, a bystander, and two assailants were killed in the attack. No group claimed responsibility for the incident; however, authorities identified the assailants as Jerad and Amanda Miller. On social media, the assailants decried the federal government, taxes, anti-gun laws, and demanded a revolution.",0,0,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Las Vegas Metropolitan Police,"Officers: Alyn Beck, Igor Solo",Anti-Government extremists,1,2,0,1,5,Firearms,5,Unknown Gun Type,5,0,1,3,Minor (likely < $1 million),-99,Weapons and ammunition were stolen in this attack.,"""Police: Killer Las Vegas couple shouted about revolution, posted rants online,"" CNN, June 9, 2014."
2014,6,11,Arizona,Nogales,31.340043,-110.935304,0,"06/11/2014: An incendiary device ignited at a UniSource Energy Services power station in Nogales, Arizona, United States. There were no reported casualties; however, a diesel tank was damaged in the attack. No group claimed responsibility for the incident.",1,0,1,0,7,Facility/Infrastructure Attack,21,Utilities,107,Electricity,UniSource Energy Services,Power Station,Unknown,0,-99,0,0,8,Incendiary,18,Arson/Fire,0,0,1,3,Minor (likely < $1 million),-99,A diesel tank was damaged in this attack.,"""Concern widens over sabotage at Nogales power station,"" Arizona Daily Star, June 14, 2014."
2014,6,25,New Jersey,West Orange,40.798588,-74.238395,0,"06/25/2014: Assailants shot and killed Brendan Tevlin as he was stopped at a traffic signal in West Orange, New Jersey, United States. Police later arrested three suspects, including Ali Muhammad Brown, in connection with the case. Authorities claim that Brown committed the act to punish the United States for its involvement in Iraq and Afghanistan. Brown has been indicted on murder charges in connection with two separate attacks that occurred earlier in the year in Skywalk and Seattle, which are both located in the state of Washington.",0,0,1,0,2,Armed Assault,14,Private Citizens & Property,70,Student,Not Applicable,Student: Brendan Tevlin,Jihadi-inspired extremists,1,3,3,1,5,Firearms,5,Unknown Gun Type,1,0,1,3,Minor (likely < $1 million),-99,The victim's vehicle was damaged in this attack.,"""Prosecutor: Seattle man charged with killing 4 was on terrorism watch list,"" Seattle Times, January 20, 2016."
2014,8,11,Texas,Corinth,33.15407,-97.064381,0,"08/11/2014: An assailant, identified as Douglas Leguin, opened fire on firefighters and police officers in Dallas, Texas, United States. Leguin, who was armed with an AK-47, propane tanks and bottles containing flammable liquid, approached and intended to occupy a residence with an eight-year-old girl and her nanny trapped inside. No casualties were reported. After an exchange of fire, Leguin was captured by police. Douglas Leguin, who identified as a member of Sovereign Citizen, claimed responsibility for the incident and stated that the attack was carried out in order to get citizens to vote.",0,0,1,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Dallas Police Department,Officers,Sovereign Citizen,0,1,0,1,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0,0,1,3,Minor (likely < $1 million),-99,A firetruck was damaged in this attack.,"""Cops: Man fires AK-47 at authorities; says he meant no harm,"" CBS News, August 18, 2014."
2014,9,11,Missouri,Kansas City,39.10296,-94.583062,0,"09/11/2014: An assailant threw two Molotov cocktails at the office of United States Congressman, Emanuel Cleaver, in Kansas City, Missouri, United States. There were no reports of casualties or property damage in the attack. Police arrested Eric King, whom they describe as an anarchist, in connection with the attack. When arrested, King was found in possession of a letter confessing to the crime, stating that the attack in retaliation to deaths throughout the Middle East and Chile as well as events in Ferguson, Missouri.",0,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,United States House of Representatives,Office of Representative: Emanuel Cleaver,Anarchists,1,1,1,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,1,3,Minor (likely < $1 million),-99,An office window was damaged in this attack.,"""Man charged in attempted firebombing of US Rep. Emanuel Cleaver's office in Kansas City,"" Minneapolis Star Tribune, September 17, 2014."
2014,9,12,Pennsylvania,Blooming Grove,41.370121,-75.154073,0,"09/12/2014: An assailant opened fire at state troopers at the barracks in Blooming Grove, Pennsylvania, United States. One trooper was killed and another was wounded in the attack. A lone individual, Eric Frein, claimed responsibility for the incident. In a letter he wrote to his parents, Frein indicated that he was looking to spark a revolution against the government.",0,0,1,0,2,Armed Assault,3,Police,22,"Police Building (headquarters, station, school)",Pennsylvania State Police (PSP),Blooming Grove Barracks,Anti-Government extremists,1,1,1,1,5,Firearms,4,Rifle/Shotgun (non-automatic),1,1,0,,,,,"""Suspected Pennsylvania cop killer charged with terrorism,"" CNN.com, November 14, 2014."
2014,10,3,New York,New York City,40.7465,-74.001374,0,"10/03/2014: Assailants attacked an art gallery in the Chelsea neighborhood of Manhattan, New York City, United States. The assailants defaced a photography exhibit on the conflict in Ukraine, distributed anti-Vladimir Putin leaflets, and assaulted German photojournalist Benjamin Hiller with pepper spray before leaving. No group claimed responsibility for the attack.",0,0,1,0,8,Unarmed Assault,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,ArtBeam,Art Gallery,Unknown,0,3,0,0,2,Chemical,,,0,1,1,3,Minor (likely < $1 million),-99,A laptop computer and photographs were damaged in this attack.,"""Exhibit on Ukraine Displays Signs of Vandalism,"" The New York Times Blogs (ArtsBeat), October 5, 2014."
2014,10,23,New York,New York City,40.728224,-73.797888,0,"10/23/2014: An assailant attacked a police patrol with a hatchet in Queens, New York City, United States. The assailant was killed and two officers and a bystander were wounded in the attack. Zale Thompson, a convert to Islam, was responsible for the incident.",0,0,1,0,2,Armed Assault,3,Police,23,Police Patrol (including vehicles and convoys),New York City Police Department,Patrol,Jihadi-inspired extremists,1,1,0,0,9,Melee,23,Knife or Other Sharp Object,1,3,0,,,,,"""ISIS goes global: Mapping 50 ISIS attacks that kill 1,100 in 18 countries,"" CNN Wire, December 17, 2015."
2014,10,24,New Mexico,Albuquerque,35.068259,-106.62154,0,"10/24/2014: Assailants threw an incendiary device through the window of the Islamic Center of New Mexico in Albuquerque, New Mexico, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",0,0,1,0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86,Place of Worship,Islamic Center of New Mexico,Mosque,Anti-Muslim extremists,0,1,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,1,3,Minor (likely < $1 million),-99,A mosque was damaged in this attack.,"""Video catches Molotov cocktail thrown at Islamic Center of NM,"" KRQE, October 24, 2014."
